Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year,Date,Normalized Date
Suzuki,Used,CNG,12345.0,Alto,400000,Karachi,Cash,2003.0,2019-12-20,43113600
FAW,New,Petrol,1.0,V2,1204000,Karachi,Cash,2018.0,2019-12-14,42595200
Daihatsu,Used,Petrol,200000.0,Cuore,420000,Karachi,Cash,2008.0,2019-12-13,42508800
Suzuki,Used,Petrol,80000.0,Bolan,630000,Karachi,Cash,2013.0,2019-12-14,42595200
Toyota,Used,Petrol,40000.0,Vitz,1600000,Karachi,Cash,2014.0,2019-12-19,43027200
Toyota,Used,Petrol,90000.0,Corolla XLI,940000,Karachi,Cash,2007.0,2019-12-15,42681600
Honda,Used,Petrol,60000.0,Civic Prosmetic,1090000,Karachi,Cash,2007.0,2019-12-18,42940800
Daihatsu,Used,CNG,1.0,Cuore,580000,Karachi,Cash,2006.0,2019-12-16,42768000
Suzuki,Used,CNG,1.0,Alto,515000,Karachi,Cash,2009.0,2019-12-20,43113600
Toyota,Used,Petrol,1.0,Crown,1000000,Karachi,Cash,1993.0,2019-12-14,42595200
Suzuki,New,Petrol,20000.0,Wagon R,1350000,Karachi,Cash,2015.0,2019-12-19,43027200
Daihatsu,Used,CNG,2250000.0,Other,435000,Karachi,Cash,2005.0,2019-12-20,43113600
Honda,New,Petrol,1.0,Civic VTi Oriel,490000,Karachi,Installment/Leasing,2018.0,2019-12-16,42768000
Nissan,New,Petrol,43000.0,Clipper,775000,Karachi,Cash,2013.0,2019-12-14,42595200
Suzuki,Used,Petrol,8.0,Mehran VX,315000,Karachi,Cash,2006.0,2019-12-14,42595200
Toyota,New,Petrol,510000.0,Vitz,1450000,Karachi,Cash,2013.0,2019-12-13,42508800
Suzuki,New,Petrol,150000.0,Bolan,340000,Karachi,Cash,1997.0,2019-12-15,42681600
Daihatsu,New,Petrol,78000.0,Mira,630000,Karachi,Cash,2012.0,2019-12-20,43113600
Suzuki,Used,CNG,1.0,Mehran VX,270000,Karachi,Cash,2003.0,2019-12-14,42595200
Toyota,Used,Petrol,100000.0,Corolla GLI,1275000,Karachi,Cash,2011.0,2019-12-19,43027200
Daihatsu,Used,Petrol,2000000.0,Hijet,670000,Karachi,Cash,2011.0,2019-12-16,42768000
Suzuki,Used,Petrol,23000.0,Swift,1390000,Karachi,Cash,2015.0,2019-12-16,42768000
Suzuki,Used,CNG,123456.0,Alto,435000,Karachi,Cash,2008.0,2019-12-13,42508800
Toyota,New,Hybrid,72000.0,Prius,2700000,Karachi,Cash,2015.0,2019-12-18,42940800
